"object_id","term_taxonomy_id","term_order"
"1343","47","0"
"1343","48","0"
"1343","5","0"
"1365","5","0"
"1365","22","0"
"1492","27","0"
"1372","95","0"
"1372","31","0"
"1372","5","0"
"1393","65","0"
"1393","7","0"
"1393","5","0"
"1448","91","0"
"1448","21","0"
"1448","5","0"
"1492","39","0"
"1492","63","0"
"1496","27","0"
"1496","39","0"
"1496","28","0"
"1496","96","0"
"1557","26","0"
"1513","92","0"
"1513","72","0"
"1513","5","0"
"1557","29","0"
"1557","7","0"
"1593","31","0"
"1593","30","0"
"1593","83","0"
"1618","27","0"
"1615","68","0"
"1615","69","0"
"1615","70","0"
"1615","5","0"
"1618","39","0"
"1618","28","0"
"1674","118","0"
"1669","79","0"
"1669","80","0"
"1669","81","0"
"1669","44","0"
"1669","55","0"
"1674","71","0"
"1674","11","0"
"1533","93","0"
"1680","27","0"
"1680","28","0"
"1680","96","0"
"1680","29","0"
"1687","43","0"
"1687","44","0"
"1687","117","0"
"1687","5","0"
"1694","18","0"
"1694","76","0"
"1694","5","0"
"1954","136","0"
"1954","31","0"
"1954","83","0"
"1954","55","0"
"1499","36","0"
"1499","97","0"
"1499","5","0"
"1516","72","0"
"1516","73","0"
"1516","5","0"
"1533","5","0"
"1533","7","0"
"1535","42","0"
"1535","5","0"
"1535","21","0"
"1560","26","0"
"1552","90","0"
"1552","43","0"
"1552","44","0"
"1552","54","0"
"1554","60","0"
"1554","37","0"
"1554","5","0"
"1560","82","0"
"1560","7","0"
"1990","11","0"
"1562","12","0"
"1562","7","0"
"1562","5","0"
"1566","18","0"
"1566","88","0"
"1566","5","0"
"1575","110","0"
"1575","37","0"
"1575","85","0"
"1575","5","0"
"1599","74","0"
"1599","7","0"
"1599","5","0"
"1643","13","0"
"1643","7","0"
"1643","5","0"
"1689","18","0"
"1689","89","0"
"1689","5","0"
"1710","49","0"
"1710","36","0"
"1710","5","0"
"1730","137","0"
"1730","17","0"
"1730","5","0"
"1961","136","0"
"1961","31","0"
"1961","83","0"
"1961","55","0"
"1990","5","0"
"2018","102","0"
"2018","5","0"
"2018","7","0"
"1531","7","0"
"2045","17","0"
"2045","138","0"
"2045","5","0"
"2086","37","0"
"2086","85","0"
"2086","111","0"
"1531","5","0"
"1531","22","0"
"1540","15","0"
"1540","5","0"
"1540","7","0"
"1611","129","0"
"1549","139","0"
"1549","11","0"
"1549","5","0"
"1579","115","0"
"1579","46","0"
"1579","5","0"
"1585","24","0"
"1585","21","0"
"1585","5","0"
"1589","16","0"
"1589","17","0"
"1589","5","0"
"1611","30","0"
"1611","37","0"
"1611","85","0"
"1652","31","0"
"1652","30","0"
